NAME,TEAM,CUR,POS,AGE,GP,MpG,USG%,TO%,FTA,FT%,2PA,2P%,3PA,3P%,eFG%,TS%,PpG,RpG,ApG,SpG,BpG,TOpG,P+R,P+A,P+R+A,VI,ORtg,DRtg
Shai Gilgeous-Alexander,Okc,*,G,26.6,58,34.2,34.5,10.8,518,0.894,906,0.581,328,0.366,0.572,0.641,32.3,5.2,6.1,1.9,1,2.6,37.5,38.4,43.6,11.8,128.2,104.7
Giannis Antetokounmpo,Mil,*,F,30.2,47,34.1,36,14.2,489,0.589,912,0.624,40,0.2,0.61,0.621,30.9,12.1,5.9,0.7,1.3,3.3,42.9,36.7,48.8,15.3,119.2,104.1
Nikola Jokic,Den,*,C,30,54,36,29.4,14.6,331,0.822,793,0.619,240,0.442,0.629,0.667,29.1,12.7,10.5,1.8,0.7,3.3,41.8,39.6,52.3,17.5,133.8,107.2
Luka Doncic,Dal,,F-G,26,22,35.7,33,13.9,146,0.767,254,0.555,212,0.354,0.544,0.584,28.1,8.3,7.8,2,0.4,3.4,36.5,36,44.3,13.7,115.8,106.6
Anthony Edwards,Min,*,G,23.6,58,36.6,31.7,14.2,352,0.835,617,0.467,587,0.405,0.536,0.583,27.3,6,4.6,1.2,0.6,3.4,33.3,31.9,37.9,9.9,111.4,109.6
Jayson Tatum,Bos,*,F-G,27,57,36.4,30.9,12.3,356,0.801,574,0.556,578,0.355,0.544,0.588,27,8.8,5.8,1.1,0.5,2.8,35.8,32.8,41.6,12.2,117.2,105.6
Tyrese Maxey,Phi,*,G,24.3,51,38,30.2,10.3,289,0.879,607,0.519,471,0.34,0.515,0.566,26.7,3.4,6.1,1.8,0.4,2.4,30.2,32.8,36.2,8.6,114.7,114.7
Kevin Durant,Pho,*,F,36.4,47,36.7,28.7,13.9,275,0.829,583,0.593,279,0.401,0.596,0.639,26.7,5.9,4.3,0.9,1.3,3,32.7,31,36.9,9.6,116.6,116.4
Devin Booker,Pho,*,G,28.3,54,37.3,29.3,12.4,371,0.898,608,0.531,420,0.345,0.526,0.593,26.2,4,6.9,1.1,0.3,2.7,30.1,33.1,37,9.6,119.6,116.1
LaMelo Ball,Cha,*,G,23.5,37,32.3,36.3,13.8,189,0.831,382,0.495,431,0.334,0.498,0.54,26.1,5.1,7,1.2,0.3,3.5,31.3,33.1,38.3,12.1,109,107.7
Jalen Brunson,Nyk,*,G,28.5,58,35.2,29.4,11.8,400,0.825,729,0.532,340,0.397,0.552,0.607,26.1,2.9,7.4,0.9,0.1,2.5,29,33.4,36.4,9.4,124.1,114.3
Anthony Davis,Dal,*,F-C,32,1,30.9,29.9,5.2,6,0.667,16,0.5,2,1,0.611,0.63,26,16,7,0,3,1,42,33,49,18.5,139,111.6
Anthony Davis,Lal,,F-C,32,42,34.3,30.2,10.9,321,0.788,663,0.561,94,0.298,0.547,0.602,25.7,11.9,3.4,1.3,2.1,2.2,37.6,29.1,41,11.8,120.3,106.2
Damian Lillard,Mil,*,G,34.6,49,36.4,28,14.5,339,0.92,402,0.522,450,0.38,0.548,0.622,25.4,4.7,7.3,1.2,0.2,3,30.1,32.7,37.4,10.5,121.9,111.8
Cade Cunningham,Det,*,G,23.4,56,35.3,32.4,17.7,279,0.853,798,0.497,349,0.364,0.512,0.556,25.2,6.2,9.4,1,0.8,4.4,31.4,34.6,40.8,12.9,110.9,108.8
Franz Wagner,Orl,*,F,23.5,41,33.3,31.9,10.6,228,0.851,554,0.54,251,0.307,0.515,0.565,25,5.6,4.9,1.4,0.4,2.3,30.6,29.8,35.4,10.6,113.8,105.1
De'Aaron Fox,Sac,,G,27.2,45,37,28.8,13.1,246,0.829,597,0.539,286,0.322,0.521,0.567,25,5,6.1,1.5,0.4,3,30,31.1,36.1,9.9,113.2,111.4
Kyrie Irving,Dal,*,G,32.9,49,36.6,27.2,10.5,211,0.915,582,0.517,359,0.401,0.549,0.593,25,4.9,4.7,1.3,0.5,2.2,29.9,29.7,34.6,9.1,118.6,113.3
LeBron James,Lal,*,F,40.2,54,34.7,30.7,17.6,246,0.764,678,0.58,314,0.395,0.584,0.612,24.9,8.1,8.6,0.9,0.6,3.9,33,33.5,41.6,13.9,116.5,110.6
Karl-Anthony Towns,Nyk,*,C-F,29.3,53,35,27,13.2,298,0.836,636,0.571,255,0.427,0.591,0.637,24.6,13.3,3.2,1,0.8,2.5,37.9,27.8,41.1,11.6,123.8,102.9
Victor Wembanyama,San,*,F-C,21.2,46,33.2,30.3,14.8,189,0.836,454,0.586,403,0.352,0.559,0.594,24.3,11,3.7,1.1,3.8,3.2,35.3,27.9,38.9,12,109.1,106.8
Cam Thomas,Bro,*,G,23.4,20,31.8,32,13.2,131,0.878,206,0.505,148,0.365,0.523,0.589,24.3,3.5,3.3,0.7,0.1,2.7,27.8,27.6,31.1,8.2,111.8,114.8
Zion Williamson,Nor,*,F,24.7,22,28.3,35.1,15.5,182,0.637,359,0.571,12,0.25,0.565,0.593,24.3,7.5,5,1.3,1,3.1,31.8,29.3,36.8,13.7,114.9,110.8
Donovan Mitchell,Cle,*,G,28.5,56,31.2,30.8,9.7,247,0.822,534,0.515,511,0.395,0.553,0.589,24.3,4.3,4.8,1.3,0.2,2,28.5,29.1,33.3,10.2,119.2,108.8
Norman Powell,Lac,*,G,31.8,45,33.6,27.2,10.8,221,0.819,411,0.555,353,0.428,0.595,0.633,24.2,3.6,2.2,1.3,0.2,2.1,27.8,26.4,30,6.9,118.2,109.6
Tyler Herro,Mia,*,G,25.1,56,35.7,28.2,12.8,246,0.862,469,0.563,545,0.372,0.561,0.601,24.1,5.4,5.7,0.8,0.1,2.7,29.5,29.8,35.2,10.1,115.8,113.3
Stephen Curry,Gol,*,G,37,51,32.1,29.4,13.7,194,0.933,344,0.532,573,0.396,0.571,0.613,24.1,4.5,6.2,1.1,0.4,2.9,28.5,30.2,34.7,10.9,118.3,112.9
Zach LaVine,Chi,,G,30,42,34.1,26.6,14.6,182,0.797,405,0.56,305,0.446,0.607,0.637,24,4.8,4.5,0.9,0.2,2.9,28.8,28.5,33.3,9.4,114.8,116.8
Trae Young,Atl,*,G,26.5,56,36.3,29.3,21.1,407,0.86,517,0.476,492,0.331,0.486,0.56,23.8,3.1,11.4,1.2,0.2,4.8,26.9,35.2,38.3,10.4,111.3,115.3
Joel Embiid,Phi,*,C-F,31,19,30.2,34.6,16.4,169,0.882,238,0.492,77,0.299,0.481,0.58,23.8,8.2,4.5,0.7,0.9,3.3,31.9,28.3,36.4,12.7,113.7,110.4
Paolo Banchero,Orl,*,F,22.3,27,33.2,33.8,13.6,219,0.676,362,0.483,157,0.299,0.473,0.519,23.7,7,4.9,0.6,0.8,3,30.7,28.5,35.5,11.2,103.5,106.9
Jaylen Brown,Bos,*,G-F,28.4,50,35.1,29.2,12.5,264,0.754,628,0.533,299,0.324,0.518,0.556,23.2,6,4.7,1.2,0.3,2.7,29.2,27.9,33.9,9.9,112,106.8
Jaren Jackson Jr.,Mem,*,F-C,25.5,58,29.8,28.8,11.6,342,0.772,668,0.557,304,0.365,0.554,0.597,23.1,5.9,2.2,1.3,1.7,2.2,29.1,25.3,31.2,9,115.9,103.9
Zach LaVine,Sac,*,G,30,10,36.2,25,14.8,38,0.895,92,0.587,75,0.373,0.575,0.615,22.6,4,4.2,1,0.1,2.9,26.6,26.8,30.8,8,113.3,116
Brandon Ingram,Nor,*,F,27.5,18,33.1,30.1,17.1,55,0.855,218,0.514,115,0.374,0.53,0.56,22.2,5.6,5.2,0.9,0.6,3.8,27.8,27.4,32.9,10.4,103.5,115.1
DeMar DeRozan,Sac,*,G-F,35.6,54,35.9,24,7.5,300,0.873,729,0.517,161,0.354,0.52,0.581,22,3.9,3.9,1,0.4,1.3,25.9,25.9,29.8,7.7,120.7,114.4
CJ McCollum,Nor,*,G,33.5,45,33.2,27.2,9,151,0.728,449,0.512,370,0.373,0.534,0.556,21.9,3.8,3.8,0.7,0.5,1.8,25.6,25.7,29.5,8.2,111.3,117.6
Trey Murphy III,Nor,*,F,24.7,44,35.7,23.6,10.2,196,0.888,336,0.542,376,0.375,0.553,0.602,21.8,5.1,3.8,1.1,0.7,1.8,27,25.6,30.7,8.4,119.5,117.1
RJ Barrett,Tor,*,F-G,24.7,47,33.4,28.5,14.6,251,0.657,562,0.528,247,0.352,0.528,0.555,21.7,6.4,5.6,0.8,0.3,2.9,28.1,27.3,33.7,11,108.1,112.2
James Harden,Lac,*,G,35.5,56,34.6,29.9,22,389,0.882,438,0.443,476,0.34,0.478,0.561,21.7,5.9,8.5,1.5,0.6,4.6,27.6,30.3,36.1,11.9,108.8,107.2
Jalen Green,Hou,*,G,23.1,60,33.4,27.3,12.6,238,0.832,574,0.49,498,0.359,0.513,0.551,21.6,4.4,3.1,0.8,0.3,2.6,26,24.7,29.1,8,109.5,110.1
Darius Garland,Cle,*,G,25.1,55,30.1,27.7,13.6,194,0.871,477,0.545,381,0.423,0.584,0.621,21.3,2.5,6.7,1.1,0.2,2.5,23.9,28,30.5,9.4,124,110.2
Jamal Murray,Den,*,G,28,53,36,24,11.6,184,0.87,574,0.512,314,0.404,0.546,0.583,21.3,3.8,6,1.4,0.5,2.2,25.1,27.3,31.1,8.7,117.7,114.1
Brandon Miller,Cha,*,F,22.3,27,34.2,27.5,13.4,79,0.861,198,0.475,293,0.355,0.509,0.54,21,4.9,3.6,1.1,0.7,2.8,25.9,24.7,29.5,8.4,104.4,110.9
Jalen Williams,Okc,*,G-F,23.9,56,32.8,27.2,11.8,223,0.78,669,0.526,281,0.352,0.527,0.561,21,5.5,5.2,1.7,0.7,2.3,26.5,26.2,31.7,10.3,113.3,103.3
Jordan Poole,Was,*,G,25.7,51,31.3,28.8,16.7,226,0.876,354,0.486,478,0.37,0.526,0.576,21,3.3,4.8,1.4,0.5,3.3,24.3,25.8,29.1,8.9,107,113.1
Luka Doncic,Lal,*,F-G,26,7,31,35,16,51,0.765,68,0.485,58,0.241,0.429,0.495,21,8.6,6.4,1.7,0.6,3.4,29.6,27.4,36,13.5,101.9,101.3
Ja Morant,Mem,*,G,25.6,37,29.4,31.3,19.1,230,0.835,419,0.499,188,0.287,0.478,0.545,20.9,4.1,7.4,1.2,0.3,3.9,24.9,28.3,32.4,11.7,109,109.7
Pascal Siakam,Ind,*,F,30.9,58,33,23.9,7.7,236,0.75,631,0.564,246,0.415,0.58,0.609,20.6,7.3,3.3,0.9,0.4,1.3,27.9,23.9,31.2,9.6,123,110.4
Scottie Barnes,Tor,*,F-G,23.6,46,34.7,26.5,14.8,212,0.778,550,0.524,223,0.269,0.489,0.532,20,7.8,6.2,1.4,1.1,2.9,27.8,26.2,34,11.4,107.7,112.7
Miles Bridges,Cha,*,F,26.9,45,32.1,27.2,11.3,165,0.867,451,0.503,309,0.32,0.494,0.537,19.9,7.7,3.8,0.8,0.6,2.2,27.6,23.6,31.4,10.4,108.9,112.1
De'Aaron Fox,San,*,G,27.2,11,34.7,26.4,14.1,55,0.8,122,0.508,61,0.262,0.47,0.521,19.6,4.3,6.8,2.1,0.5,2.7,23.9,26.5,30.7,9.6,106.8,109.4
Domantas Sabonis,Sac,*,F-C,28.8,56,35.2,21.4,18.8,237,0.747,589,0.633,132,0.432,0.636,0.663,19.5,14.1,6.2,0.6,0.4,3,33.7,25.7,39.8,13.6,128,104.7
Lauri Markkanen,Uta,*,F-C,27.8,43,32.1,23.8,8.4,179,0.872,281,0.527,363,0.347,0.523,0.574,19.3,6.1,1.6,0.8,0.4,1.4,25.4,20.9,27,7.1,116.8,117.3
Alperen Sengun,Hou,*,C,22.6,57,31.1,26.7,14.1,323,0.693,789,0.515,79,0.228,0.499,0.54,19.1,10.6,4.8,1.1,0.8,2.5,29.7,23.9,34.5,12.7,114.1,101.2
Austin Reaves,Lal,*,G,26.8,53,34.3,23.4,15.1,264,0.867,350,0.537,373,0.362,0.54,0.602,19.1,4.2,6,1.1,0.3,2.4,23.3,25,29.3,9.1,119.3,111.5
Nikola Vucevic,Chi,*,C,34.4,56,32.1,22.5,10.5,120,0.817,564,0.599,256,0.387,0.593,0.614,19.1,10.3,3.4,0.9,0.7,1.7,29.4,22.5,32.8,10.9,120.5,110.2
De'Andre Hunter,Atl,,F-G,27.2,37,28.7,24.1,10.7,176,0.858,245,0.531,247,0.393,0.56,0.616,19,3.9,1.5,0.8,0.1,1.6,22.9,20.5,24.4,6.7,116.7,111.7
Jalen Johnson,Atl,*,F,23.2,36,35.7,22.4,16.3,126,0.746,402,0.565,141,0.312,0.54,0.568,18.9,10,5,1.6,1,2.9,28.9,23.9,33.9,11,109,110.8
Kristaps Porzingis,Bos,*,F-C,29.6,32,28.9,25.3,8,144,0.813,244,0.529,191,0.403,0.562,0.608,18.9,6.8,1.9,0.8,1.6,1.2,25.7,20.9,27.7,8.7,122.9,102.5
Julius Randle,Min,*,F-C,30.3,48,32.6,25.4,16.8,249,0.811,452,0.542,221,0.321,0.522,0.578,18.9,7.2,4.5,0.7,0.2,2.8,26,23.3,30.5,10.4,114,106.9
Cameron Johnson,Bro,*,F,29,45,31.7,22.8,11.2,175,0.897,257,0.568,336,0.396,0.583,0.633,18.8,4.1,2.9,0.9,0.5,1.7,22.9,21.8,25.8,7.7,122.1,114.4
Michael Porter Jr.,Den,*,F,26.7,57,33.3,20.7,8.9,142,0.754,429,0.594,362,0.412,0.605,0.623,18.7,6.8,2.2,0.6,0.4,1.4,25.5,20.8,27.7,7.9,122.5,113.2
Evan Mobley,Cle,*,C,23.7,53,30,23.3,13.3,222,0.757,514,0.63,155,0.368,0.612,0.644,18.6,9.3,3.1,0.8,1.6,1.9,27.9,21.7,31,10.8,125.7,105.3
Anfernee Simons,Por,*,G,25.7,56,32.4,24.3,12.2,154,0.896,407,0.489,456,0.368,0.523,0.559,18.6,2.8,5,0.8,0.1,2.1,21.3,23.6,26.4,7.9,113.7,116.6
John Collins,Uta,*,F-C,27.4,38,30.5,23.8,17,155,0.852,355,0.575,134,0.418,0.589,0.635,18.6,8.2,2.1,1,1.1,2.6,26.8,20.7,28.8,9,115.9,110.5
Tyrese Haliburton,Ind,*,G,25,57,34,21.5,11.1,167,0.856,339,0.569,450,0.384,0.574,0.608,18.4,3.5,8.8,1.4,0.6,1.7,21.8,27.1,30.6,9.7,127.6,116.4
Dennis Schroder,Bro,,G,31.5,23,33.6,23.7,15.3,81,0.889,175,0.509,150,0.387,0.542,0.588,18.4,3,6.6,1.1,0.2,2.6,21.4,25,28,8.5,116.1,112.8
Desmond Bane,Mem,*,G,26.7,48,31.1,22.7,15.7,133,0.872,389,0.571,278,0.378,0.569,0.603,18.2,5.9,5.4,1.2,0.4,2.6,24.1,23.7,29.5,10.7,117.8,108.1
Coby White,Chi,*,G,25,53,32.7,23.1,14.1,174,0.902,327,0.511,430,0.365,0.532,0.577,18.2,3.3,4.6,1,0.2,2.3,21.5,22.8,26.1,8,110.4,115.3
Collin Sexton,Uta,*,G,26.2,47,28.3,26.2,15.4,181,0.895,420,0.51,215,0.414,0.547,0.6,18.2,2.9,4.1,0.7,0.1,2.5,21.1,22.3,25.1,8.5,116.2,117.1
Bradley Beal,Pho,*,G,31.7,41,33,22.6,12.8,114,0.816,355,0.561,204,0.407,0.579,0.607,18,3.6,3.6,1.1,0.6,2,21.7,21.7,25.3,7.5,114.5,114.3
Andrew Wiggins,Mia,*,F,30,6,35.3,24.9,15.6,39,0.821,48,0.438,38,0.289,0.436,0.519,17.8,4.8,3.3,1.2,1,2.7,22.7,21.2,26,7.4,103.4,113.1
Malik Monk,Sac,*,G,27.1,51,32.6,24.1,13.8,142,0.88,411,0.543,347,0.32,0.514,0.551,17.7,3.9,5.9,1,0.6,2.4,21.6,23.6,27.5,9.1,111.1,111
Jaden Ivey,Det,*,G,23,30,29.9,26,17.7,116,0.733,259,0.49,154,0.409,0.536,0.569,17.6,4.1,4,0.9,0.4,3,21.7,21.6,25.7,8.8,107.3,110.4
Mikal Bridges,Nyk,*,G-F,28.5,59,37.9,19.2,9.2,66,0.727,502,0.594,371,0.356,0.568,0.576,17.6,3.1,3.3,1,0.6,1.5,20.7,20.9,24,6,114.9,117.3
Andrew Wiggins,Gol,,F,30,43,30.1,23.3,8.7,179,0.777,340,0.491,248,0.379,0.524,0.566,17.6,4.6,2.3,0.9,0.8,1.3,22.1,19.9,24.5,7.6,115.6,112.2
Shaedon Sharpe,Por,*,G,21.8,52,29.8,24.9,11.5,161,0.789,430,0.542,321,0.327,0.52,0.552,17.5,3.8,2.6,0.8,0.3,1.9,21.2,20,23.8,7.5,109.1,115.2
Dejounte Murray,Nor,*,G,28.4,31,32.7,27.2,17.5,124,0.823,320,0.444,174,0.299,0.445,0.494,17.5,6.5,7.4,2,0.4,3.4,23.9,24.8,31.3,11.5,101.1,113.6
Kawhi Leonard,Lac,*,F,33.7,18,27.4,28.1,12.6,43,0.767,179,0.492,85,0.388,0.521,0.544,17.1,4.7,2.8,1.3,0.4,2.1,21.8,19.9,24.7,8.9,104.2,108.5
Jimmy Butler,Mia,,F,35.5,25,30.6,21,10.2,161,0.801,227,0.568,36,0.361,0.565,0.638,17,5.2,4.8,1.1,0.4,1.2,22.3,21.8,27.1,9.8,135.8,114.6
Bam Adebayo,Mia,*,C-F,27.6,56,34.1,22.8,13.5,222,0.734,623,0.522,145,0.31,0.511,0.548,16.9,9.9,4.3,1.2,0.7,2.1,26.8,21.3,31.2,10.5,112.9,107.1
Jonathan Kuminga,Gol,*,F,22.4,32,26,27.5,10.6,169,0.639,307,0.502,116,0.345,0.506,0.539,16.8,5,2.2,0.9,0.6,1.6,21.7,18.9,23.9,8.8,107.8,108.7
Quentin Grimes,Phi,*,G,24.8,9,31.4,20.8,10.5,24,0.583,54,0.63,56,0.411,0.623,0.626,16.8,5.4,2.8,1.1,0.7,1.4,22.2,19.6,25,8.1,120.5,113.6
Malik Beasley,Det,*,G,28.3,61,27.4,22.9,7.3,101,0.663,224,0.487,572,0.427,0.597,0.605,16.7,2.8,1.7,1,0,1,19.5,18.4,21.2,6.3,117.9,112.9
Jordan Clarkson,Uta,*,G,32.7,32,26.6,27.6,13,118,0.805,234,0.444,207,0.367,0.494,0.539,16.6,3.2,3.9,0.8,0.3,2.1,19.8,20.5,23.7,8.9,109.5,117.8
Keyonte George,Uta,*,G,21.3,49,31.4,24.2,17.1,195,0.8,291,0.464,373,0.343,0.492,0.54,16.5,3.7,6,0.7,0.2,2.8,20.3,22.5,26.3,9.1,109.3,118.6
Paul George,Phi,*,F,34.8,40,32.6,23.8,15.7,97,0.814,297,0.495,262,0.363,0.518,0.547,16.5,5.3,4.3,1.8,0.5,2.6,21.8,20.8,26.1,8.9,104.5,110.2
Jimmy Butler,Gol,*,F,35.5,8,30.1,21.6,8.1,60,0.867,76,0.5,14,0.071,0.439,0.563,16.4,5.8,5.6,1.3,0.4,1,22.1,22,27.8,10.8,132,113.3
Derrick White,Bos,*,G,30.7,57,33.7,19.4,11.6,120,0.842,206,0.583,502,0.39,0.585,0.611,16.3,4.3,4.3,0.9,1.1,1.6,20.6,20.6,24.9,8,122.6,110.1
Bennedict Mathurin,Ind,*,G-F,22.7,55,30.8,22,13.5,225,0.827,436,0.541,223,0.345,0.533,0.586,16.2,5.5,1.9,0.6,0.4,1.9,21.6,18,23.5,7.2,110.7,112.1
Jalen Suggs,Orl,*,G,23.7,35,28.6,27.4,17.5,110,0.882,239,0.506,242,0.314,0.489,0.536,16.2,4,3.7,1.5,0.9,2.9,20.2,19.9,23.9,8.7,100.7,102.8
Immanuel Quickley,Tor,*,G,25.7,21,28.3,24.2,12.4,78,0.859,134,0.463,133,0.376,0.513,0.566,16.2,3.2,5.6,0.5,0.1,1.8,19.5,21.9,25.1,9.4,116.5,115
O.G. Anunoby,Nyk,*,F-G,27.6,53,36.2,18,9.2,130,0.808,365,0.567,307,0.362,0.556,0.584,16.1,4.6,2,1.4,0.8,1.3,20.7,18.1,22.7,5.8,116.7,112.8
Mark Williams,Cha,*,C,23.2,28,25.6,22.7,10.2,118,0.797,297,0.582,1,0,0.581,0.629,15.7,9.8,2.3,0.6,1.2,1.2,25.5,18,27.9,11.1,128.5,103.9
Ivica Zubac,Lac,*,C,28,57,32.1,18.8,13.3,160,0.631,632,0.619,0,0,0.619,0.629,15.5,12.6,2.5,0.8,1.2,1.7,28.1,18,30.6,9.8,124.7,104.5
Myles Turner,Ind,*,C-F,28.9,51,30.9,20.7,13.8,160,0.763,309,0.534,277,0.408,0.571,0.603,15.5,6.5,1.6,0.9,1.8,1.8,22,17.1,23.7,7,110.5,109
Devin Vassell,San,*,G-F,24.5,43,30.2,22.6,9.5,87,0.77,320,0.503,269,0.338,0.505,0.528,15.4,3.5,2.8,1.2,0.5,1.4,18.9,18.2,21.7,7.1,104.5,114.5
Jared McCain,Phi,*,G,21,23,25.7,24.9,11.9,56,0.875,141,0.532,133,0.383,0.553,0.589,15.3,2.4,2.6,0.7,0,1.6,17.7,17.9,20.3,7.1,113.1,115.9
Caris LeVert,Atl,*,G,30.5,8,27.7,20.2,6,24,0.75,50,0.62,43,0.326,0.559,0.589,15.3,4.4,2.1,0.9,0.4,0.8,19.6,17.4,21.8,7.5,119.9,110.3
Chet Holmgren,Okc,*,C-F,22.8,17,26.1,23.3,15.1,74,0.757,118,0.568,61,0.377,0.567,0.612,15.2,8.4,1.9,0.9,2.7,1.9,23.6,17.1,25.5,9.6,116.2,100.4
Kyle Kuzma,Was,,F,29.6,32,27.7,26.9,13.8,98,0.602,295,0.495,160,0.281,0.469,0.488,15.2,5.8,2.5,0.6,0.2,2.3,21,17.7,23.4,8.7,92.9,116.4
Christian Braun,Den,*,G,23.9,59,33.1,15.7,8.4,165,0.83,446,0.648,153,0.366,0.623,0.657,15,5.2,2.2,1.1,0.5,0.9,20.1,17.2,22.3,6.7,131.3,112.1
Naz Reid,Min,*,C-F,25.5,60,27.6,21.7,9.9,121,0.81,356,0.542,345,0.394,0.566,0.591,14.9,6,2.1,0.8,0.9,1.3,20.9,17,23,8.3,116.8,104.7
Kelly Oubre Jr.,Phi,*,F-G,29.2,56,35,18.7,9.8,169,0.763,454,0.557,229,0.293,0.518,0.552,14.9,6.3,1.8,1.5,0.5,1.3,21.2,16.7,23,6.3,111.3,110.4
Kyle Kuzma,Mil,*,F,29.6,10,34.2,21.8,15.8,44,0.682,80,0.475,48,0.292,0.461,0.502,14.8,7.5,2.7,0.5,0.3,2.4,22.3,17.5,25,7.8,96.2,108.2
Gradey Dick,Tor,*,G-F,21.3,53,29.6,21.4,11.4,155,0.858,318,0.472,325,0.351,0.499,0.545,14.6,3.6,1.8,0.9,0.2,1.6,18.2,16.5,20.1,6.2,106.3,114.1
Deni Avdija,Por,*,F,24.2,56,28.4,22,18.7,258,0.764,346,0.549,240,0.338,0.532,0.586,14.6,6.3,3.4,1,0.5,2.4,20.9,18.1,24.4,9.6,112.4,109.2
Josh Hart,Nyk,*,G,30,56,37.7,15.5,17,165,0.806,388,0.652,177,0.339,0.607,0.642,14.6,9.7,5.8,1.5,0.4,2.1,24.3,20.4,30.1,9.9,128.8,108.4
Deandre Ayton,Por,*,C,26.6,40,30.1,19.6,12.8,60,0.667,436,0.594,32,0.188,0.573,0.583,14.4,10.2,1.6,0.8,1,1.7,24.6,16,26.2,8.2,113.6,109
Fred VanVleet,Hou,*,G,31,46,35.5,17.9,10.7,101,0.832,239,0.448,356,0.34,0.485,0.517,14.4,3.9,5.8,1.6,0.4,1.5,18.3,20.2,24.1,7.8,115.9,107.4
Jerami Grant,Por,*,F,31,45,32.5,19.6,10.1,159,0.843,273,0.381,279,0.366,0.466,0.521,14.4,3.5,2.2,0.9,1,1.4,17.9,16.6,20.1,5.9,108,114
Tre Mann,Cha,*,G,24.1,13,24.5,25.9,13.4,21,0.905,101,0.455,60,0.4,0.509,0.537,14.1,2.9,3,0.5,0.3,1.9,17,17.1,20,8.1,105.6,113.2
P.J. Washington,Dal,*,F,26.5,47,32.2,19.7,13.9,150,0.74,348,0.466,198,0.374,0.5,0.537,14,8.1,2.3,1.2,1.1,1.9,22.1,16.3,24.4,7.9,106.5,107.8
Georges Niang,Atl,*,F,31.7,8,27.9,18.3,5.2,11,0.818,30,0.467,60,0.417,0.572,0.59,14,4.8,1.9,0.6,0.5,0.6,18.8,15.9,20.6,7.2,119.1,108.9
Jakob Poeltl,Tor,*,C,29.4,47,30.5,18.2,15.9,121,0.653,472,0.612,2,0,0.61,0.623,14,9.9,2.8,1.1,1.2,1.9,23.9,16.8,26.7,9.6,119.5,106.4
Klay Thompson,Dal,*,G,35.1,53,27.3,21.7,10,50,0.88,227,0.445,413,0.402,0.547,0.562,14,3.5,2,0.8,0.5,1.3,17.5,16.1,19.5,6.8,109.3,114.6
Amen Thompson,Hou,*,G-F,22.1,57,32.3,17.3,17.5,216,0.708,489,0.591,73,0.274,0.568,0.602,13.9,8.2,3.5,1.4,1.3,2.1,22.1,17.4,25.6,9.1,119.4,104.6
Dyson Daniels,Atl,*,G,22,55,34,17.9,13,106,0.604,495,0.527,178,0.337,0.522,0.532,13.9,5.6,4,3,0.8,1.8,19.5,17.9,23.5,8,108,108.9
Payton Pritchard,Bos,*,G,27.1,59,27.9,18.6,8.9,62,0.839,157,0.637,459,0.414,0.625,0.639,13.9,3.8,3.4,0.9,0.2,1,17.7,17.4,21.1,8.1,130.8,110.1
D'Angelo Russell,Bro,*,G,29,17,24,27.6,16.4,60,0.883,87,0.46,107,0.318,0.469,0.533,13.8,2.8,5.8,1.2,0.8,2.2,16.6,19.6,22.4,10.1,110.5,109.2
Tobias Harris,Det,*,F,32.6,59,32,17.6,9.2,131,0.878,443,0.54,219,0.338,0.529,0.566,13.8,5.9,2.3,0.9,0.8,1.1,19.7,16.1,22,7.2,115.4,110.6
De'Andre Hunter,Cle,*,F-G,27.2,7,25.2,17.8,9,18,0.778,27,0.407,33,0.606,0.683,0.707,13.7,3.7,1,0.3,0.3,0.9,17.4,14.7,18.4,5.9,131,106.9
Dillon Brooks,Hou,*,G-F,29.1,57,32.2,17.2,7.9,95,0.821,318,0.44,349,0.393,0.518,0.542,13.5,3.9,1.6,0.8,0.2,1,17.4,15.1,19,5.4,114.5,104.7
Jarrett Allen,Cle,*,C,26.9,59,28.5,15.5,13,190,0.737,458,0.712,3,0,0.707,0.727,13.4,10.2,1.9,0.9,0.9,1.2,23.6,15.4,25.6,9,142.1,105.8
Bobby Portis,Mil,*,F,30.1,47,24.7,24.1,9.1,67,0.821,392,0.505,165,0.364,0.517,0.538,13.4,8.1,2.2,0.7,0.5,1.2,21.6,15.6,23.7,10,109.9,104.6
Rui Hachimura,Lal,*,F,27.1,50,32.1,16.1,8.1,98,0.765,295,0.573,205,0.41,0.59,0.612,13.3,5.2,1.5,0.8,0.5,0.9,18.5,14.8,20,5.9,121.8,111.6
Max Christie,Dal,*,G,22.1,11,32.6,16.6,13.2,25,0.84,61,0.475,50,0.44,0.559,0.594,13.2,4.2,3.5,1,0.5,1.5,17.4,16.6,20.8,7.1,117,113.3
Josh Giddey,Chi,*,G,22.4,56,29.4,20.6,20.5,136,0.779,375,0.504,221,0.38,0.529,0.561,13.1,7.5,6.6,1.1,0.6,2.8,20.6,19.8,27.2,11.8,112.8,112.7
Moritz Wagner,Orl,*,F-C,27.9,30,18.8,26.7,16.4,110,0.718,174,0.649,75,0.36,0.616,0.649,12.9,4.9,1.4,0.8,0.4,1.6,17.8,14.3,19.2,9.5,117.2,101.4
